hour,mae,rmse
0,1.6729764984322457,1.2934359274553362
1,1.9347544891970259,1.3909545244892179
2,2.990508598632747,1.7293087054174991
3,2.638473343582479,1.6243378169526435
4,2.3754358002854232,1.541244886539911
5,3.6135326727677395,1.9009294234052299
6,2.3596251476939702,1.5361071406949354
7,3.591813203959422,1.8952079579717425
8,4.113199449375213,2.0281024257603986
9,2.6679315950856135,1.6333804195855948
10,3.1214082172277586,1.7667507513024463
11,2.092509376571442,1.4465508551625283
12,2.784496497946692,1.6686810653766921
13,3.1552354879663915,1.7762982542260157
14,4.722937487359461,2.173232037164799
15,4.6541054651335045,2.157337587197123
16,2.0564708161946994,1.4340400329818896
17,2.711357948106793,1.6466201590247804
18,6.2182762437955335,2.4936471770873148
19,3.833575446583372,1.9579518499144384
20,2.090691937252089,1.445922521178811
21,5.511557263462615,2.34767060369691
22,4.8661234610621396,2.205929160481392
23,2.1190376066376615,1.4556914531031848
